@relation InstanceResultListener

@attribute Key_Dataset {CMC,CMC-weka.filters.unsupervised.attribute.Remove-R5-9}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 132\nSize of the tree: 219\n','Number of leaves: 186\nSize of the tree: 299\n','Number of leaves: 151\nSize of the tree: 249\n','Number of leaves: 166\nSize of the tree: 275\n','Number of leaves: 137\nSize of the tree: 227\n','Number of leaves: 177\nSize of the tree: 289\n','Number of leaves: 157\nSize of the tree: 261\n','Number of leaves: 144\nSize of the tree: 239\n','Number of leaves: 131\nSize of the tree: 219\n','Number of leaves: 176\nSize of the tree: 287\n','Number of leaves: 127\nSize of the tree: 211\n','Number of leaves: 169\nSize of the tree: 277\n','Number of leaves: 161\nSize of the tree: 271\n','Number of leaves: 150\nSize of the tree: 245\n','Number of leaves: 158\nSize of the tree: 259\n','Number of leaves: 134\nSize of the tree: 223\n','Number of leaves: 181\nSize of the tree: 305\n','Number of leaves: 163\nSize of the tree: 267\n','Number of leaves: 141\nSize of the tree: 229\n','Number of leaves: 158\nSize of the tree: 267\n','Number of leaves: 159\nSize of the tree: 263\n','Number of leaves: 139\nSize of the tree: 237\n','Number of leaves: 148\nSize of the tree: 241\n','Number of leaves: 179\nSize of the tree: 295\n','Number of leaves: 135\nSize of the tree: 221\n','Number of leaves: 171\nSize of the tree: 285\n','Number of leaves: 155\nSize of the tree: 261\n','Number of leaves: 168\nSize of the tree: 275\n','Number of leaves: 149\nSize of the tree: 245\n','Number of leaves: 130\nSize of the tree: 223\n','Number of leaves: 114\nSize of the tree: 191\n','Number of leaves: 103\nSize of the tree: 175\n','Number of leaves: 144\nSize of the tree: 241\n','Number of leaves: 121\nSize of the tree: 199\n','Number of leaves: 162\nSize of the tree: 267\n','Number of leaves: 147\nSize of the tree: 245\n','Number of leaves: 157\nSize of the tree: 259\n','Number of leaves: 139\nSize of the tree: 229\n','Number of leaves: 161\nSize of the tree: 261\n','Number of leaves: 134\nSize of the tree: 219\n','Number of leaves: 182\nSize of the tree: 295\n','Number of leaves: 177\nSize of the tree: 293\n','Number of leaves: 185\nSize of the tree: 307\n','Number of leaves: 150\nSize of the tree: 247\n','Number of leaves: 163\nSize of the tree: 263\n','Number of leaves: 154\nSize of the tree: 255\n','Number of leaves: 133\nSize of the tree: 225\n','Number of leaves: 124\nSize of the tree: 207\n','Number of leaves: 126\nSize of the tree: 209\n','Number of leaves: 165\nSize of the tree: 275\n','Number of leaves: 144\nSize of the tree: 237\n','Number of leaves: 152\nSize of the tree: 255\n','Number of leaves: 168\nSize of the tree: 283\n','Number of leaves: 167\nSize of the tree: 277\n','Number of leaves: 116\nSize of the tree: 203\n','Number of leaves: 159\nSize of the tree: 259\n','Number of leaves: 159\nSize of the tree: 261\n','Number of leaves: 155\nSize of the tree: 269\n','Number of leaves: 161\nSize of the tree: 267\n','Number of leaves: 125\nSize of the tree: 209\n','Number of leaves: 191\nSize of the tree: 309\n','Number of leaves: 130\nSize of the tree: 211\n','Number of leaves: 139\nSize of the tree: 231\n','Number of leaves: 165\nSize of the tree: 269\n','Number of leaves: 155\nSize of the tree: 255\n','Number of leaves: 144\nSize of the tree: 245\n','Number of leaves: 128\nSize of the tree: 209\n','Number of leaves: 179\nSize of the tree: 297\n','Number of leaves: 135\nSize of the tree: 223\n','Number of leaves: 145\nSize of the tree: 245\n','Number of leaves: 139\nSize of the tree: 221\n','Number of leaves: 138\nSize of the tree: 227\n','Number of leaves: 120\nSize of the tree: 201\n','Number of leaves: 147\nSize of the tree: 247\n','Number of leaves: 163\nSize of the tree: 265\n','Number of leaves: 143\nSize of the tree: 239\n','Number of leaves: 129\nSize of the tree: 217\n','Number of leaves: 151\nSize of the tree: 251\n','Number of leaves: 126\nSize of the tree: 215\n','Number of leaves: 137\nSize of the tree: 223\n','Number of leaves: 141\nSize of the tree: 231\n','Number of leaves: 164\nSize of the tree: 269\n','Number of leaves: 162\nSize of the tree: 273\n','Number of leaves: 160\nSize of the tree: 265\n','Number of leaves: 148\nSize of the tree: 243\n','Number of leaves: 119\nSize of the tree: 193\n','Number of leaves: 170\nSize of the tree: 285\n','Number of leaves: 42\nSize of the tree: 75\n','Number of leaves: 61\nSize of the tree: 107\n','Number of leaves: 88\nSize of the tree: 153\n','Number of leaves: 73\nSize of the tree: 129\n','Number of leaves: 65\nSize of the tree: 117\n','Number of leaves: 74\nSize of the tree: 133\n','Number of leaves: 52\nSize of the tree: 93\n','Number of leaves: 72\nSize of the tree: 129\n','Number of leaves: 69\nSize of the tree: 121\n','Number of leaves: 76\nSize of the tree: 135\n','Number of leaves: 90\nSize of the tree: 159\n','Number of leaves: 70\nSize of the tree: 127\n','Number of leaves: 77\nSize of the tree: 139\n','Number of leaves: 40\nSize of the tree: 71\n','Number of leaves: 62\nSize of the tree: 107\n','Number of leaves: 43\nSize of the tree: 73\n','Number of leaves: 80\nSize of the tree: 143\n','Number of leaves: 78\nSize of the tree: 135\n','Number of leaves: 79\nSize of the tree: 141\n','Number of leaves: 78\nSize of the tree: 139\n','Number of leaves: 74\nSize of the tree: 131\n','Number of leaves: 84\nSize of the tree: 147\n','Number of leaves: 45\nSize of the tree: 79\n','Number of leaves: 62\nSize of the tree: 113\n','Number of leaves: 71\nSize of the tree: 125\n','Number of leaves: 64\nSize of the tree: 111\n','Number of leaves: 66\nSize of the tree: 115\n','Number of leaves: 49\nSize of the tree: 87\n','Number of leaves: 61\nSize of the tree: 109\n','Number of leaves: 81\nSize of the tree: 145\n','Number of leaves: 59\nSize of the tree: 103\n','Number of leaves: 68\nSize of the tree: 123\n','Number of leaves: 86\nSize of the tree: 155\n','Number of leaves: 70\nSize of the tree: 123\n','Number of leaves: 62\nSize of the tree: 109\n','Number of leaves: 55\nSize of the tree: 97\n','Number of leaves: 67\nSize of the tree: 117\n','Number of leaves: 80\nSize of the tree: 141\n','Number of leaves: 58\nSize of the tree: 101\n','Number of leaves: 74\nSize of the tree: 129\n','Number of leaves: 58\nSize of the tree: 103\n','Number of leaves: 51\nSize of the tree: 91\n','Number of leaves: 77\nSize of the tree: 135\n','Number of leaves: 63\nSize of the tree: 111\n','Number of leaves: 76\nSize of the tree: 131\n','Number of leaves: 60\nSize of the tree: 105\n','Number of leaves: 72\nSize of the tree: 127\n','Number of leaves: 79\nSize of the tree: 137\n','Number of leaves: 75\nSize of the tree: 129\n','Number of leaves: 68\nSize of the tree: 121\n','Number of leaves: 54\nSize of the tree: 95\n','Number of leaves: 86\nSize of the tree: 151\n','Number of leaves: 70\nSize of the tree: 125\n','Number of leaves: 75\nSize of the tree: 131\n','Number of leaves: 79\nSize of the tree: 139\n','Number of leaves: 72\nSize of the tree: 123\n','Number of leaves: 77\nSize of the tree: 137\n','Number of leaves: 52\nSize of the tree: 91\n','Number of leaves: 71\nSize of the tree: 127\n','Number of leaves: 73\nSize of the tree: 131\n','Number of leaves: 65\nSize of the tree: 115\n','Number of leaves: 83\nSize of the tree: 147\n','Number of leaves: 59\nSize of the tree: 105\n','Number of leaves: 43\nSize of the tree: 77\n','Number of leaves: 69\nSize of the tree: 123\n','Number of leaves: 56\nSize of the tree: 99\n','Number of leaves: 46\nSize of the tree: 81\n','Number of leaves: 57\nSize of the tree: 101\n','Number of leaves: 64\nSize of the tree: 115\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

CMC,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1325,148,88,60,0,59.459459,40.540541,0,0.376317,0.32894,0.437229,76.292395,94.127512,228.17232,9829.947819,-9601.775499,1.541705,66.418566,-64.876861,70.912901,0.479141,4607.873754,0.634921,40,0.211765,18,0.788235,67,0.365079,23,0.689655,0.634921,0.661157,0.428593,0.75817,0.711872,0.594595,0.213214,0.786786,0.405405,0.599192,0.594595,0.595975,0.38127,0.736771,0.583998,0.580199,0.594595,0.018,0,0.03125,0,31.25,0,47800,146835,18542,92.567568,80.855856,'Number of leaves: 132\nSize of the tree: 219\n',219,132,132
CMC,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1325,148,80,68,0,54.054054,45.945946,0,0.279908,0.336931,0.467716,78.145705,100.690786,228.17232,16277.478061,-16049.305741,1.541705,109.98296,-108.441255,64.180588,0.433653,4170.412501,0.761905,48,0.341176,29,0.658824,56,0.238095,15,0.623377,0.761905,0.685714,0.416396,0.753501,0.664193,0.540541,0.254569,0.745431,0.459459,0.526563,0.540541,0.527887,0.289725,0.695103,0.518451,0.500625,0.540541,0.018,0.001,0.015625,0,15.625,0,63736,146835,18542,87.837838,76.576577,'Number of leaves: 186\nSize of the tree: 299\n',299,186,186
CMC,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1325,148,82,66,0,55.405405,44.594595,0,0.299433,0.347112,0.460984,80.597039,99.366441,227.556994,16278.786599,-16051.229606,1.537547,109.991801,-108.454254,59.669522,0.403172,3876.118383,0.714286,45,0.282353,24,0.717647,61,0.285714,18,0.652174,0.714286,0.681818,0.428112,0.739683,0.698704,0.554054,0.248092,0.751908,0.445946,0.54431,0.554054,0.547378,0.308251,0.676863,0.541923,0.516646,0.554054,0.017,0,0.015625,0,15.625,0,53796,146835,18542,87.837838,81.081081,'Number of leaves: 151\nSize of the tree: 249\n',249,151,151
CMC,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,70,77,0,47.619048,52.380952,0,0.164526,0.374231,0.488872,86.900109,105.386059,226.027303,17363.270632,-17137.24333,1.537601,118.117487,-116.579887,45.279418,0.308023,2941.356218,0.587302,37,0.404762,34,0.595238,50,0.412698,26,0.521127,0.587302,0.552239,0.180772,0.607143,0.555357,0.47619,0.315711,0.684289,0.52381,0.480143,0.47619,0.466255,0.171484,0.612993,0.477566,0.443073,0.47619,0.018,0,0.015625,0,15.625,0,59016,146944,18433,88.435374,81.632653,'Number of leaves: 166\nSize of the tree: 275\n',275,166,166
CMC,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,74,73,0,50.340136,49.659864,0,0.23339,0.370177,0.476795,85.958757,102.782784,226.027303,15211.335247,-14985.307944,1.537601,103.478471,-101.94087,49.235646,0.334936,3198.353245,0.507937,32,0.214286,18,0.785714,66,0.492063,31,0.64,0.507937,0.566372,0.30674,0.669029,0.623671,0.503401,0.267577,0.732423,0.496599,0.526105,0.503401,0.506311,0.243849,0.64006,0.496558,0.493015,0.503401,0.027,0,0.015625,0,15.625,0,49400,146944,18433,90.47619,85.714286,'Number of leaves: 137\nSize of the tree: 227\n',227,137,137
CMC,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,76,71,0,51.70068,48.29932,0,0.24697,0.353571,0.482654,82.102771,104.045667,226.027303,21638.458193,-21412.430891,1.537601,147.200396,-145.662795,54.55343,0.371112,3543.797105,0.650794,41,0.22619,19,0.77381,65,0.349206,22,0.683333,0.650794,0.666667,0.427521,0.728647,0.646222,0.517007,0.256903,0.743097,0.482993,0.518441,0.517007,0.515281,0.26224,0.65356,0.493587,0.478679,0.517007,0.011,0,0,0,0,0,61780,146944,18433,84.353741,75.963719,'Number of leaves: 177\nSize of the tree: 289\n',289,177,177
CMC,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,74,73,0,50.340136,49.659864,0,0.236336,0.358374,0.478739,83.217965,103.201741,226.027303,17350.559074,-17124.531771,1.537601,118.031014,-116.493413,55.5916,0.378174,3611.236744,0.52381,33,0.238095,20,0.761905,64,0.47619,30,0.622642,0.52381,0.568966,0.294469,0.707955,0.660735,0.503401,0.263975,0.736025,0.496599,0.516147,0.503401,0.506339,0.241775,0.666413,0.517261,0.492537,0.503401,0.012,0,0.015625,0,15.625,0,56220,146944,18433,87.07483,78.684807,'Number of leaves: 157\nSize of the tree: 261\n',261,157,157
CMC,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,78,69,0,53.061224,46.938776,0,0.277564,0.357261,0.469133,82.959588,101.130994,226.027303,15203.656898,-14977.629595,1.537601,103.426237,-101.888637,56.795753,0.386366,3689.458634,0.587302,37,0.309524,26,0.690476,58,0.412698,26,0.587302,0.587302,0.587302,0.277778,0.679327,0.614753,0.530612,0.251869,0.748131,0.469388,0.534776,0.530612,0.531714,0.278166,0.677737,0.51347,0.517823,0.530612,0.012,0,0.015625,0,15.625,0,51808,146944,18433,90.47619,84.807256,'Number of leaves: 144\nSize of the tree: 239\n',239,144,144
CMC,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,76,71,0,51.70068,48.29932,0,0.244681,0.357933,0.470356,83.1156,101.394618,226.027303,20552.922202,-20326.8949,1.537601,139.815797,-138.278197,55.275521,0.376024,3590.704224,0.555556,35,0.321429,27,0.678571,57,0.444444,28,0.564516,0.555556,0.56,0.234615,0.664494,0.566752,0.517007,0.280321,0.719679,0.482993,0.526969,0.517007,0.518645,0.2443,0.651004,0.506735,0.515237,0.517007,0.01,0,0.015625,0,15.625,0,47816,146944,18433,86.394558,78.684807,'Number of leaves: 131\nSize of the tree: 219\n',219,131,131
CMC,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,70,77,0,47.619048,52.380952,0,0.185039,0.375753,0.501404,87.089441,107.859188,226.946505,22721.356909,-22494.410404,1.543854,154.567054,-153.0232,45.157205,0.307192,2934.73299,0.564516,35,0.317647,27,0.682353,58,0.435484,27,0.564516,0.564516,0.564516,0.246869,0.652087,0.54978,0.47619,0.28803,0.71197,0.52381,0.473302,0.47619,0.473075,0.18979,0.623924,0.447623,0.450367,0.47619,0.013,0,0.015625,0,15.625,0,61376,146944,18433,84.353741,76.417234,'Number of leaves: 176\nSize of the tree: 287\n',287,176,176
CMC,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1325,148,72,76,0,48.648649,51.351351,0,0.208278,0.358409,0.463826,83.127256,99.853212,228.17232,9851.488289,-9623.315969,1.541705,66.56411,-65.022405,54.004205,0.364893,3509.157821,0.603175,38,0.282353,24,0.717647,61,0.396825,25,0.612903,0.603175,0.608,0.321513,0.750047,0.708698,0.486486,0.2711,0.7289,0.513514,0.488118,0.486486,0.487268,0.215244,0.684178,0.524761,0.465525,0.486486,0.012,0,0.015625,0,15.625,0,46200,146835,18542,93.243243,84.009009,'Number of leaves: 127\nSize of the tree: 211\n',211,127,127
CMC,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1325,148,74,74,0,50,50,0,0.214291,0.35564,0.487323,82.485131,104.911767,228.17232,19506.33315,-19278.16083,1.541705,131.799548,-130.257843,53.11683,0.358898,3451.496786,0.666667,42,0.364706,31,0.635294,54,0.333333,21,0.575342,0.666667,0.617647,0.298633,0.70028,0.598231,0.5,0.280333,0.719667,0.5,0.486604,0.5,0.490821,0.221452,0.641621,0.483458,0.459125,0.5,0.014,0,0.015625,0,15.625,0,59388,146835,18542,86.486486,76.801802,'Number of leaves: 169\nSize of the tree: 277\n',277,169,169
CMC,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1325,148,70,78,0,47.297297,52.702703,0,0.180172,0.375593,0.503522,87.112721,108.399154,228.17232,23791.65681,-23563.48449,1.541705,160.754438,-159.212733,45.696235,0.308758,2969.311388,0.571429,36,0.329412,28,0.670588,57,0.428571,27,0.5625,0.571429,0.566929,0.241544,0.656116,0.56385,0.472973,0.287102,0.712898,0.527027,0.467372,0.472973,0.46951,0.185864,0.618063,0.446397,0.441447,0.472973,0.014,0,0.015625,0,15.625,0,58256,146835,18542,85.135135,79.054054,'Number of leaves: 161\nSize of the tree: 271\n',271,161,161
CMC,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,86,61,0,58.503401,41.496599,0,0.351064,0.316785,0.433311,73.560592,93.408909,226.027303,9817.403595,-9591.376293,1.537601,66.785058,-65.247458,75.6844,0.51486,4916.467336,0.634921,40,0.261905,22,0.738095,62,0.365079,23,0.645161,0.634921,0.64,0.373794,0.707105,0.746748,0.585034,0.236741,0.763259,0.414966,0.590443,0.585034,0.584187,0.354389,0.744968,0.61511,0.571933,0.585034,0.015,0.001,0.015625,0,15.625,0,52972,146944,18433,93.877551,79.138322,'Number of leaves: 150\nSize of the tree: 245\n',245,150,150
CMC,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180911.1633,1326,147,71,76,0,48.29932,51.70068,0,0.19845,0.37424,0.492675,86.902285,106.20603,226.027303,26994.987532,-26768.960229,1.537601,183.639371,-182.10177,46.502588,0.316344,3020.813463,0.555556,35,0.309524,26,0.690476,58,0.444444,28,0.57377,0.555556,0.564516,0.247108,0.67602,0.693907,0.482993,0.2821,0.7179,0.517007,0.484192,0.482993,0.483224,0.201526,0.632714,0.506375,0.464115,0.482993,0.014,0,0.015625,0,15.625,0,55784,146944,18433,82.993197,78.911565,'Number of leaves: 158\nSize of the tree: 259\n',259,158,158
